"","id","tweet_id","candidate","tweet_created","sentiment","tweet_location","user_timezone","text","predictedLabel","actualLabel","maxEntPrediction","maxEntProbability","svmPrediction","svmProbability","glmnetPrediction","glmnetProbability","consensusCount","probabilityLabel","consensusLabel"
"2",2,"629697199560069120","Scott Walker","2015-08-07 09:54:46 -0700","Positive","","","RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…",1,3,"3",0.998034445396585,"1",0.510997911058055,"1",0.664057562549363,2,3,1
"4",4,"629697197118861312","No candidate mentioned","2015-08-07 09:54:45 -0700","Positive","Texas","Central Time (US & Canada)","RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …",1,3,"3",1,"1",0.695820225127061,"1",0.597346547727644,2,3,1
"5",5,"629697196967903232","Donald Trump","2015-08-07 09:54:45 -0700","Positive","","Arizona","RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co…",3,3,"3",1,"3",0.987145186706795,"3",0.778187088929927,3,3,3
"6",6,"629697194283499520","Ted Cruz","2015-08-07 09:54:44 -0700","Positive","","Central Time (US & Canada)","RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",3,3,"3",0.999999556425645,"3",0.585214555260875,"1",0.64345923672026,2,3,3
"7",7,"629697192383672320","No candidate mentioned","2015-08-07 09:54:44 -0700","Negative","North Georgia","Eastern Time (US & Canada)","RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://…",1,1,"1",0.99999999999963,"1",0.877557995964253,"1",0.872721811834938,3,1,1
"9",9,"629697190219243520","Ben Carson","2015-08-07 09:54:44 -0700","Negative","","Pacific Time (US & Canada)","Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",1,1,"1",1,"1",0.872359126791798,"1",0.790348234557666,3,1,1
"10",10,"629697185093824512","No candidate mentioned","2015-08-07 09:54:42 -0700","Negative","","","RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD",1,1,"1",1,"1",0.927658943334467,"1",0.854048354083305,3,1,1
"11",11,"629697185072988160","Donald Trump","2015-08-07 09:54:42 -0700","Negative","Peoria, IL","Central Time (US & Canada)","@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate",1,1,"1",1,"1",0.877447413908642,"1",0.776095345022288,3,1,1
"12",12,"629697184259305472","Mike Huckabee","2015-08-07 09:54:42 -0700","Positive","Fargo, ND","Central Time (US & Canada)","RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate   Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV",3,3,"3",0.99465971704353,"3",0.872115367156923,"1",0.523737871500424,2,3,3
"13",13,"629697183499943936","No candidate mentioned","2015-08-07 09:54:42 -0700","Negative","","","Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ",1,1,"1",0.999440795797802,"1",0.597631376118089,"1",0.629979760364543,3,1,1
