"","id","text","sentiment"
"1",1,"RT @Chris_Dignam: Another #TrumpRally    another senseless assault https://t.co/9Hcdk2sIJ7 #Trump #GOPDebate","Negative"
"2",2,"If @CNN asks #Trump abt pledges at rally's   can they also talk about #Obama? #Trump2016 #GOPDebate #CNNDebate #CNN https://t.co/tyw5t2ShZs","Neutral"
"3",3,"RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h…","Positive"
"4",4,"RT @JoePrich: @MichelleFields  this entire thing was a HOAX designed to put Trump on the defensive before the #GOPdebate","Positive"
"5",5,"Considering how aggressively the GOP has campaigned against Trump   they must not plan on him being the nominee #GOPDebate","Negative"
"6",6,"#GOPDebate Would you move to Canada if Trump became President ? https://t.co/7norhcUUZb https://t.co/qna9LONRSE","Negative"
"7",7,"RT @immigrant4trump: Trump: 'Politicians are all talk   no action' Look? https://t.co/CnYQ1FC8KF #Trump2016 #GOPDebate #Florida #FLPrimary h…","Negative"
"8",8,"#gopdebate #Trump #MemeHistory #BrownAndUnbothered #donaldtrump TheVulgarPuppy @YouTube https://t.co/GU8IQP1b1A https://t.co/5UaxFpchet""""""","Neutral"
"9",9,"What will Trump lie about first tonight? #GOPDebate","Negative"
"10",10,"RT @Art05hr3d: https://t.co/x2msN81vwI #OhioPrimary #FloridaPrimary  #Trump2016 #GOPDebate  #MakeAmericaGreatAgain Carpe Diem https://t.co/…","Neutral"
"11",11,"Trump looking around during the #MomentOfSilence for Nancy Reagan. #GOPDebate","Negative"
"12",12,"RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…","Positive"
"13",13,"RT @WesleyRickard: Sue Everhart GOP Chairman Georgia Endorses Donald J Trump for President #NC #FL #OH #MO #IL #DC #GOPDebate  #jpnet https…","Positive"
"14",14,"RT @MIAMIforTRUMP: Don't forget! ?????The Media lies!????? #MakeAmericaGreatAgain #Trump2016 #TrumpRally #TrumpTrain #TRUMP #GOPDebate http…","Positive"
"15",15,"RT @ladies4trump: #GOPDebate - let's increase the hashtags- and really pull for him tonight! It's our job as #trump troopers to get our mes…","Positive"
"16",16,"RT @tgradous: #Trump Has The Lowest Favorability Ratings EVER For a Frontrunner https://t.co/HDXsoYyS5o… #GOPDebate #NeverTrump https://t.c…","Negative"
"17",17,"RT @seccathaholic: The emcee of the #GOPDebate keeps telling the audience to be civilized and respectful. Tell that to Trump","Negative"
"18",18,"RT @BlackIrishI: Trump Displays Fake Trump Steaks And Water During Victory Speech https://t.co/FuQhVOaIxY via @totalfratmove / #GOPDebate #…","Negative"
"19",19,"@realDonaldTrump CNN #GOPDebate moments away. Go Trump! TRUMP 2016!","Positive"
"20",20,"RT @WayneDupreeShow: Caller 1 from SW Virginia - I am insulted by anti-Trump supporters Call in ? 202 470 6738 https://t.co/cSgpDM32HO #T…","Positive"
"21",21,"RT @immigrant4trump: MSM always showing Trump Protesters  but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h…","Positive"
"22",22,"RT @ACBadBeat: Der Furher #Trump has not yet tweeted today. Maybe he's studying for #GOPDebate at #TrumpUniversity (Idiot!) #NeverTrump","Negative"
"23",23,"RT @WayneDupreeShow: Caller 5  from NY- I voted for Bill Clinton   now I am switching to Trump Call in ? 202 470 6738 https://t.co/cSgpDM…","Positive"
"24",24,"RT @c314smiley: Trump's modeling agency broke immigration laws   attorneys say https://t.co/YqC1MbuYZR via @CNNMoney  #NeverTrump #GOPdebate","Negative"
"25",25,"#GOPDebate Carly is a liar--Trump supporters are not smart.","Negative"
"26",26,"RT @JasonBBenham: The saddest part of the #GOPDebate  is that no matter how childish #Trump gets many people are loving every minute of it.","Negative"
"27",27,"CNN: We're not biased for Trump! But you have to admire… Not that I like him but… How dare you say we're perpetuating Trump! #GOPDebate","Neutral"
"28",28,"RT @KinielCat: Trump cannot stand still during the moment of silence for Nancy Reagan. He may ACTUALLY be a 1st grader. #GOPDebate","Negative"
"29",29,"Trump is the kind of guy that would treat his house elf poorly. #GOPDebate","Negative"
"30",30,"RT @immigrant4trump: ?Trump = ACCOMPLISHED BUSINESSMAN ?Hillary= ACCOMPLISHED CRIMINAL ?https://t.co/CnYQ1FC8KF …  #Trump2016 #GopDebate htt…","Positive"
"31",31,"RT @immigrant4trump: MSM always showing Trump Protesters  but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h…","Positive"
"32",32,"If I were funnier I would be Donald Trump. #GOPDebate","Negative"
"33",33,"#GOPDebate  Totally in heaven with BOTH @secupp  AND @kayleighmcenany  in bright red   sparring brilliantly over Trump's virtues & vices. mm!","Neutral"
"34",34,"What's the difference between @realDonaldTrump and Hitler? We can stop Trump before it is too late. Go out and vote #GOPDebate #vote #trump","Negative"
"35",35,"All this pre-debate talk about ""Trump Steaks"" really makes me want steak... #GOPDebate #CNNDebate","Neutral"
