,id,tweet_id,candidate,tweet_created,tweet_location,user_timezone,text,Yogi tie break,"dr sentiment (1=neg,3=pos,2=unclear)","wm sentiment (1=neg,3=pos,2=unclear)",predictedLabel,maxEntPrediction,maxEntProbability,svmPrediction,svmProbability,glmnetPrediction,glmnetProbability,consensusCount (R ensemble),probabilityLabel (R ensemble),consensusLabel (R ensemble),sentiment (Python lex & ensemble),"ensemble output(pos_prob, neg_prob)",lexicon output,ensemble_pos,ensemble_neg,lexicon_pos,lexicon_neu,lexicon_neg,lexicon_compound,,"""correct"" human label",lean,r ens prob,r maj vot,python ens,"questions, ideas"
697,20697,ID708107583421173760,Donald Trump,3/10/2016 20:49,"Glenville, Minnesota",Central Time (US & Canada),"I'm sorry Reince, but I can't throw away my morals & values to support liberal Trump if he's our nominee. #NeverTrump #GOPDebate",1,1,1,1,1,1,1,0.890151562,1,0.744553587,3,1,1,2,"(0.020339073422511109, 0.97966092657748993)","{'neg': 0.07, 'neu': 0.642, 'pos': 0.289, 'compound': 0.6249}",0.020336985,0.979663015,0.289,0.642,0.07,0.6249,,1,,TRUE,TRUE,FALSE,python - more weight to neg in ensemble
1205,21206,ID708107292848234496,Donald Trump,3/10/2016 20:48,"Minnesota, USA",Central Time (US & Canada),"If the GOP nominee is Trump, I will absolutely not rally behind him #NeverTrump #GOPdebate",1,1,1,1,1,1,1,0.897414258,1,0.867203477,3,1,1,1,"(0.042687453829397287, 0.95731254617060191)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.042538206,0.957461794,0,1,0,0,,1,,TRUE,TRUE,TRUE,
1237,21238,ID708056993165082628,Donald Trump,3/10/2016 17:28,"Florida, USA",none,RT @LdyGuin: These Two Yankees Legends Just Endorsed #Trump https://t.co/g9IrWlu0ic via @dailycaller #GOPDebate #Trump2016 #AlwaysTrump,3,3,3,1,1,0.960325252,1,0.849063273,1,0.834798588,3,1,1,3,"(0.50549455899536599, 0.49450544100463451)","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.25}",0.505370751,0.494629249,0.182,0.818,0,0.25,,3,,FALSE,FALSE,TRUE,lexicon contains trump2016 and alwaystrump?
1327,21328,ID707873022548549633,Donald Trump,3/10/2016 5:17,null,Eastern Time (US & Canada),RT @OCAmericans: Oh my @realDonaldTrump must tackle this monster! Save Ohio! America needs Trump... NOW! #tcot #Trump2016 #GOPdebate  https,3,3,3,1,1,1,1,0.793952931,1,0.728676585,3,1,1,3,"(0.68016656150190968, 0.31983343849809082)","{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}",0.680367831,0.319632169,0.186,0.814,0,0.4939,,3,,FALSE,FALSE,TRUE,"should lexicon add ""cheerleader"" tags like cruzcrew and trump2016"
1908,21909,ID708108127023927296,Donald Trump,3/10/2016 20:51,"Huntersville, NC",Eastern Time (US & Canada),"RT @JacobBRichards1: My bold #GOPDebate prediction: no matter what happens on stage, Trump will dominate the Drudge poll and proudly declar",3,3,3,1,3,1,1,0.742957963,1,0.7565687,2,3,1,3,"(0.64375658842592709, 0.35624341157407224)","{'neg': 0.195, 'neu': 0.421, 'pos': 0.384, 'compound': 0.5574}",0.643188275,0.356811725,0.365,0.45,0.185,0.5574,,3,,TRUE,FALSE,TRUE,
2792,22794,ID708107571266232320,Donald Trump,3/10/2016 20:49,"Columbus, OH",Eastern Time (US & Canada),RT @ChestnutPrince: .@realDonaldTrump 'I think Islam hates us'  https://t.co/nQI1NaGfMA #Trump2016 #GOPDebate   Do you agree with him?,2,2,2,1,3,1,1,0.727560108,1,0.533206973,2,3,1,3,"(0.67987713496386226, 0.32012286503613813)","{'neg': 0.309, 'neu': 0.426, 'pos': 0.266, 'compound': -0.1027}",0.680206532,0.319793468,0.24,0.481,0.279,-0.1027,,2,toss,FALSE,FALSE,FALSE,(what is compound and does lex prob ~ similar somehow tell us this is neutral
4928,24932,ID708108800067248130,Donald Trump,3/10/2016 20:54,Pennsylvania,Eastern Time (US & Canada),RT @WayneDupreeShow: Caller 5  from Pittsburgh -Close to 50K have switched to GOP to support Trump  Call in ? 202 470 6738  https://t.co/cS,2,3,2,1,3,1,1,0.770304542,1,0.578575749,2,3,1,3,"(0.57462841923708463, 0.42537158076291631)","{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}",0.574867451,0.425132549,0.231,0.769,0,0.4019,retweet + quote sentiment,2,3,FALSE,FALSE,FALSE,(why didn't python catch this as neutral)
4993,24997,ID708108587688706049,Donald Trump,3/10/2016 20:53,New England Sweet New England,Central Time (US & Canada),"RT @igorvolsky: Trump vows to repeal Obamacare, which means 129 million Americans with pre-existing conditions could lose their coverage #G",1,1,2,1,1,1,1,0.867808935,1,0.84430667,3,1,1,1,"(0.079446478839960893, 0.92055352116003819)","{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}",0.079200276,0.920799724,0,0.803,0.197,-0.4019,retweet + quote sentiment,1,,TRUE,TRUE,TRUE,check - when does lexicon get it right and when does ensemble get it right
5383,25388,ID708101747617570816,Donald Trump,3/10/2016 20:26,null,none,RT @0boy: Best word to describe Trump: Embarrassing https://t.co/Lu4GjHqfdB #GOPDebate #WakeUpAmerica https://t.co/ATI28TnkCR,1,1,1,1,1,0.999999996,1,0.5610252,3,0.615155083,2,1,1,2,"(0.22067386695929284, 0.77932613304070786)","{'neg': 0.22, 'neu': 0.424, 'pos': 0.356, 'compound': 0.3818}",0.220891275,0.779108725,0.328,0.469,0.203,0.3818,,1,,TRUE,TRUE,FALSE,?wake up america and embarassing
6062,26068,ID708079676086951936,Donald Trump,3/10/2016 18:58,"Georgia, USA",Eastern Time (US & Canada),RT @Trump2016Donald: Trump signs EVERYWHERE in Ohio! #OHPrimary #OhioPrimary #Trump2016 #TrumpTrain #MakeAmericaGreatAgain #GOPDebate https,3,3,3,3,3,0.999999948,1,0.531124612,3,0.584810023,2,3,3,3,"(0.92858291104711232, 0.071417088952886815)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.928572584,0.071427416,0,1,0,0,,3,,TRUE,TRUE,TRUE,lexicon sucked on this
6323,26329,ID708001728931766273,Donald Trump,3/10/2016 13:49,NYC-L.A.-ATL,Quito,This is why Democrats sent Trump as a Trojan horse to @GOP but the GOP won't take the bait. #GOPDebate #DemDebate  https://t.co/lwBUvbcCY8,1,1,1,1,1,1,1,0.926073485,1,0.829564061,3,1,1,2,"(0.23133628193720457, 0.76866371806279599)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.231396847,0.768603153,0,1,0,0,,1,,TRUE,TRUE,FALSE,"ensemble right, lexicon really wrong"
6808,26814,ID708109730531545088,Ted Cruz,3/10/2016 20:58,"Sacramento, CA",Pacific Time (US & Canada),I hate the way Ted Cruz stands on stage with legs so far apart. It's goofy. #GOPDebate https://t.co/hpBu7A6gy5,1,1,1,1,1,1,1,0.84218099,1,0.779723692,3,1,1,1,"(0.32241526073016824, 0.67758473926983187)","{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.5719}",0.322275131,0.677724869,0,0.748,0.252,-0.5719,,1,,TRUE,TRUE,TRUE,lexicon - more negative words?
7047,27054,ID708072557342289925,Ted Cruz,3/10/2016 18:30,null,Central Time (US & Canada),RT @peddoc63: My Friends we have a choice! Democrats favorite deal maker or Ted Cruz! #ChooseCruz #CruzCrew #Pjnet #GOPDebate https://t.co/,3,3,1,1,3,1,1,0.595852843,1,0.546455408,2,3,1,3,"(0.78359317208557699, 0.21640682791442431)","{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.7269}",0.78365316,0.21634684,0.357,0.643,0,0.7269,"check with Walter, how is this negative for Cruz",3,,TRUE,FALSE,TRUE,lexicon - more positive words?
8202,28210,ID708100937626345473,Marco Rubio,3/10/2016 20:23,Anywhere He Darn Well Pleases,Eastern Time (US & Canada),This is do or die for Rubio. #GOPdebate,2,2,1,3,3,1,3,0.731033652,3,0.587888502,3,3,3,1,"(0.19868167182761312, 0.80131832817238724)","{'neg': 0.661, 'neu': 0.339, 'pos': 0.0, 'compound': -0.5994}",0.198699306,0.801300694,0,0.339,0.661,-0.5994,could go negative or neutral,2,1,FALSE,FALSE,FALSE,lexicon somewhat right on this tweet - its either negative or neutral - it's NOT positive
8297,28305,ID708109381657726976,Donald Trump,3/10/2016 20:56,"Salem, OR",International Date Line West,"RT @IBTimes: Amid the #GOPDebate, Clinton and Sanders condemn the ""repugnant"" violence at Trump rallies https://t.co/21iXk8nEUs https://t.c",1,1,1,1,1,0.999999793,1,0.83951856,1,0.814695069,3,1,1,1,"(0.2506849038424061, 0.74931509615759406)","{'neg': 0.489, 'neu': 0.511, 'pos': 0.0, 'compound': -0.7717}",0.250818044,0.749181956,0,0.544,0.456,-0.7717,,1,,TRUE,TRUE,TRUE,lexicon - more negative words? Repugnant violence
8704,28712,ID708067903627730944,Donald Trump,3/10/2016 18:11,Michigan,Quito,RT @DarkLadyNebula: NOOOooooOOOOo! Donald Trump wouldn't lie to his supporters Say it ain't so Trump say it ain't so?? #GOPDebate  https://,1,1,1,1,1,1,1,0.919178552,1,0.804114259,3,1,1,1,"(0.12632455386678174, 0.87367544613321824)","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.3412}",0.126458342,0.873541658,0,0.844,0.156,-0.3412,,1,,TRUE,TRUE,TRUE,? Ensemble doing well on negative?
8708,28716,ID708092895501361157,Donald Trump,3/10/2016 19:51,Franklin County VA,Eastern Time (US & Canada),"RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h",3,3,3,1,3,1,1,0.754545571,1,0.515642769,2,3,1,3,"(0.81023401983916676, 0.18976598016083257)","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}",0.810209126,0.189790874,0.184,0.816,0,0.4019,,3,,TRUE,FALSE,TRUE,lexicon didn't do well on this
10248,31494,ID708335055173771265,Donald Trump,3/11/2016 11:53,null,none,"RT @stephenfhayes: Trump on Middle East conflict: ""I was the Grand Marshal of the Israeii Day parade, down 5th Avenue."" #embarrassing #GOPd",1,1,1,1,1,1,1,0.878438656,1,0.84590826,3,1,1,1,"(0.27106942944747936, 0.72893057055252142)","{'neg': 0.274, 'neu': 0.559, 'pos': 0.168, 'compound': -0.2263}",0.271081792,0.728918208,0.159,0.582,0.259,-0.2263,,1,,TRUE,TRUE,TRUE,"lexicon didn't do well on this ""embarassing"""
