"id","tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","sentiment","quote_sentiment","general_tone","text","",""
"30001","ID708156819756163072","Donald Trump","Mariasol","3/11/2016 0:05","none","none","75","Positive","Positive","Negative","RT @steph93065: These people are a joke. Donald Trump is the only authentic candidate ?? #Trump2016 #GOPDebate @CarmineZozzora","",""
"30002","ID708178427535175680","Donald Trump","AllyChat","3/11/2016 1:31","Not With Trump","Arizona","0","Negative","Negative","Negative","Trump fans applaud their hero's ""tough talk"" but get offended when I do same on Twitter. Sad. #NeverTrump #GOPDebate","",""
"30003","ID708143933155463168","Donald Trump","0xdeadb?be","3/10/2016 23:14","Inwood 207 St","Eastern Time (US & Canada)","8","Negative","Negative","Negative","RT @LucyStag: It's genuinely skin-crawling how Trump refuses to say that his supporters shouldn't be violent. #gopdebate","",""
"30004","ID708145761960079360","Donald Trump","Chidike Okeem","3/10/2016 23:21","Dallas, TX","Central Time (US & Canada)","6","Negative","Negative","Negative","RT @TheValuesVoter: @VOICEOFCHID Asking Trump a detailed question is like asking Stevie Wonder ""What color is this dress?"" #GOPDebate https","",""
"30005","ID708253303298252800","Donald Trump","Sweet Sabina","3/11/2016 6:28","USA","Hawaii","157","Negative","Negative","Negative","RT @KatiePavlich: Palestinian terrorists/Authority celebrated the murder of American Taylor Force in the streets, Trump wants to negotiate ","",""
"30006","ID708270964728061952","Donald Trump","Franklin-Maximus","3/11/2016 7:38","New York, USA","none","149","Negative","Negative","Negative","RT @thehill: Trump: I use visas that are ""very bad"" for American workers https://t.co/p8wUCnEfm0 #GOPdebate https://t.co/IL2KSc0HVV","",""
"30007","ID708141020307849216","Donald Trump","jbird","3/10/2016 23:02","Colorado","Mountain Time (US & Canada)","0","Neutral","Neutral","Neutral","Trump is campaigning for his sister for SCOTUS in his closing remarks. #GOPDebate","",""
"30008","ID708147428059435008","Ted Cruz","Toni","3/10/2016 23:27","none","Quito","4","Neutral","Neutral","Neutral","RT @dawngpsalm63: #CNNDebate #GOPDebate #Cruz #NAU #Florida #Ohio #Primary Watch VIP ?????????????? https://t.co/1JOlEbOl14","",""
"30009","ID708151147584946176","Donald Trump","GoldNews","3/10/2016 23:42","Global","Eastern Time (US & Canada)","134","Neutral","Positive","Positive","RT @USATODAY: Trump: We'll build factories here and make our own products. That's the way it should be done. #GOPDebate","",""
"30010","ID708366514638839808","Ted Cruz","Jake Braunger","3/11/2016 13:58"," Denver, Iowa, Seattle, D.C.","Central Time (US & Canada)","184","Negative","Negative","Negative","RT @HEELZiggler: No matter what points Cruz makes, he just comes off as a hall monitor, who tells the teacher who was bad, while she was ou","",""
"30011","ID708327509612335105","Donald Trump","Chris Clements","3/11/2016 11:23","none","none","1","Neutral","Neutral","Negative","RT @frogmorton: I'd be OK if Trump outlawed all hooting, and possibly all hollering. #GOPDebate","",""
"30012","ID708143795250929664","Ted Cruz","#CruzCrew","3/10/2016 23:13","Texas","Mountain Time (US & Canada)","41","Neutral","Neutral","Neutral","RT @mrctv: WATCH: Sen. Ted Cruz calls for ObamaCare repeal in closing statement. #TTT16 GOPDebate https://t.co/loCfR4Ssd4","",""
"30013","ID708141855058186240","Ted Cruz","Freeda?","3/10/2016 23:05","none","none","118","Positive","Positive","Positive","RT @ChuckNellis: Ted Cruz had an AWESOME factual, policy based #GOPDebate! If you want our next Ronald Reagan LEADER I introduce you to @Te","",""
"30014","ID708174272594751489","Donald Trump","pamela oberfeld","3/11/2016 1:14","nyc, michigan","Eastern Time (US & Canada)","311","Negative","Negative","Negative","RT @stephenfhayes: Trump on Middle East conflict: ""I was the Grand Marshal of the Israeii Day parade, down 5th Avenue."" #embarrassing #GOPd","",""
"30015","ID708169667559358464","Ted Cruz","#AlwaysTrump-Kathy","3/11/2016 0:56","USA","Eastern Time (US & Canada)","12","Negative","Negative","Negative","RT @_Teufelshunde: Ted Cruz Is Now Auto Recall. Anytime I Hear Or See Him The Immediate Image Is: Sleazy Televangelist #GOPDebate https://t","",""
"30016","ID708147231887523840","Donald Trump","John David","3/10/2016 23:27","none","Mountain Time (US & Canada)","0","Positive","Positive","Positive","Um..ummm  Attention: @AmbJohnBolton The most Presidential candidate on the #GOPDebate #NeverHillary @gop @nro #trump https://t.co/JVrxKHAuQe ","",""
"30017","ID708145174786940928","Donald Trump","Vote For Trump","3/10/2016 23:19","On the #TrumpTrain","Pacific Time (US & Canada)","217","Positive","Positive","Positive","RT @Veteran4Trump: Trump is the only candidate that remembers! Don't be fooled America. Trump is our last hope for Security #GOPDebate http","",""
"30018","ID708166288133083136","Donald Trump","Bill","3/11/2016 0:42","Phoenix, AZ","Arizona","755","Neutral","Neutral","Negative","RT @guypbenson: ""I beat Hillary in many of the polls."" - Trump at #GOPDebate The polls: https://t.co/7sWHYOBtVv""","",""
"30019","ID708314339325816833","Donald Trump","Robyn van Eck","3/11/2016 10:31","Texas","none","520","Negative","Negative","Negative","RT @JesseKellyDC: If you're watching this debate and think Trump is the best candidate on that stage then you need professional help. #GOPD","",""
"30020","ID708143155909013504","Ted Cruz","Just Ann American","3/10/2016 23:10","none","Central Time (US & Canada)","8","Negative","Negative","Negative","RT @My3Alexandra: #GOPDebate Everything Cruz wants to do on day one are impeachable offenses #Pleaseproceed","",""
"30021","ID708149869928693760","Donald Trump","Joseph W","3/10/2016 23:37","none","Eastern Time (US & Canada)","57","Neutral","Neutral","Neutral","RT @Ricky_Vaughn99: Okay, so even though @jaketapper tried to stump Trump he was much fairer and more respectable than @megynkelly. #GOPDeb","",""
"30022","ID708325065788497920","Donald Trump","TrumpForce1","3/11/2016 11:13","none","none","658","Positive","Positive","Positive","RT @WesleyRickard: Kid Rock Singer Songwriter Endorses Donald J Trump for President #NC #FL #OH #MO #IL #DC #CA #GOP #FOX #GOPDebate https:","",""
"30023","ID708164928767561728","Ted Cruz","laura","3/11/2016 0:37","none","none","197","Negative","Negative","Negative","RT @lexi4prez: Cruz going on and on about less government being wonderful and great....until it's about abortion and gay marriage. #GOPDeba","",""
"30024","ID708306009899409409","Donald Trump","CRUZIN2016","3/11/2016 9:58","Louisiana, USA","none","178","Negative","Negative","Negative","RT @stephenfhayes: Trump, pressed for details on his ""waste, fraud & abuse"" Social Sec dodge, instead lists countries (to waste time), talk","",""
"30025","ID708141041740722176","Donald Trump","Nina","3/10/2016 23:02","Transplanted to Texas","Central Time (US & Canada)","0","Negative","Negative","Negative","Love how Trump eventually takes talking points from other candidates.  #GOPDebate","",""
"30026","ID708145995742208000","Donald Trump","On My High Horse","3/10/2016 23:22","Raleigh, NC ","Eastern Time (US & Canada)","26","Negative","Negative","Negative","RT @BigHeadSports: I have to hand it to Trump. For a Democrat, he's not doing terrible at the #GOPDebate","",""
"30027","ID708154386938204160","Donald Trump","jim doherty","3/10/2016 23:55","nyc","none","20","Positive","Positive","Positive","RT @JLQ4TRUMP: @CNNPolitics @TheresaMechele of course it's true #GOPDebate #CNNDebate #Trump is the only one who speaks the truth https://t","",""
"30028","ID708144295727894528","Donald Trump","Cincinnatus","3/10/2016 23:15","USA","Central Time (US & Canada)","1","Negative","Negative","Negative","Great #GOPDebate? No circus of nastiness for ratings. Good questions and answers. #Trump for the first time said The Constitution. #TCOT","",""
"30029","ID708252383227351040","Donald Trump","Jeff","3/11/2016 6:25","none","Pacific Time (US & Canada)","12","Negative","Negative","Negative","RT @HavanaTed: With all due respect to Donald Trump, there is no bigger clown in America than @Reince. #GOPDebate","",""
