id,sentiment,quote_sentiment,tone(general),text
1,Negative,Negative,Negative,RT @Chris_Dignam: Another #TrumpRally    another senseless assault https://t.co/9Hcdk2sIJ7 #Trump #GOPDebate
2,Neutral,Neutral,Neutral,If @CNN asks #Trump abt pledges at rally's   can they also talk about #Obama? #Trump2016 #GOPDebate #CNNDebate #CNN https://t.co/tyw5t2ShZs
3,Positive,Positive,,"RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h…"
4,Positive,Positive,Negative,RT @JoePrich: @MichelleFields  this entire thing was a HOAX designed to put Trump on the defensive before the #GOPdebate
5,Negative,Negative,Negative,Considering how aggressively the GOP has campaigned against Trump   they must not plan on him being the nominee #GOPDebate
6,Negative,Negative,,#GOPDebate Would you move to Canada if Trump became President ? https://t.co/7norhcUUZb https://t.co/qna9LONRSE
7,Negative,Negative,Negative,RT @immigrant4trump: Trump: 'Politicians are all talk   no action' Look? https://t.co/CnYQ1FC8KF #Trump2016 #GOPDebate #Florida #FLPrimary h…
8,Neutral,Neutral,Neutral,"#gopdebate #Trump #MemeHistory #BrownAndUnbothered #donaldtrump TheVulgarPuppy @YouTube https://t.co/GU8IQP1b1A https://t.co/5UaxFpchet"""""""
9,Negative,Negative,Negative,What will Trump lie about first tonight? #GOPDebate
10,Neutral,Positive,Neutral,RT @Art05hr3d: https://t.co/x2msN81vwI #OhioPrimary #FloridaPrimary  #Trump2016 #GOPDebate  #MakeAmericaGreatAgain Carpe Diem https://t.co/…
11,Negative,Negative,Negative,Trump looking around during the #MomentOfSilence for Nancy Reagan. #GOPDebate
12,Positive,Positive,Negative,RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…
13,Positive,Positive,Positive,RT @WesleyRickard: Sue Everhart GOP Chairman Georgia Endorses Donald J Trump for President #NC #FL #OH #MO #IL #DC #GOPDebate  #jpnet https…
14,Positive,Positive,Negative,RT @MIAMIforTRUMP: Don't forget! ?????The Media lies!????? #MakeAmericaGreatAgain #Trump2016 #TrumpRally #TrumpTrain #TRUMP #GOPDebate http…
15,Positive,Positive,Positive,RT @ladies4trump: #GOPDebate - let's increase the hashtags- and really pull for him tonight! It's our job as #trump troopers to get our mes…
16,Negative,Negative,Negative,RT @tgradous: #Trump Has The Lowest Favorability Ratings EVER For a Frontrunner https://t.co/HDXsoYyS5o… #GOPDebate #NeverTrump https://t.c…
17,Negative,Negative,Negative,RT @seccathaholic: The emcee of the #GOPDebate keeps telling the audience to be civilized and respectful. Tell that to Trump
18,Negative,Negative,Negative,RT @BlackIrishI: Trump Displays Fake Trump Steaks And Water During Victory Speech https://t.co/FuQhVOaIxY via @totalfratmove / #GOPDebate #…
