id,sentiment,quote_sentiment,tone,text,,
1,Positive,Positive,Negative,RT @steph93065: These people are a joke. Donald Trump is the only authentic candidate ?? #Trump2016 #GOPDebate @CarmineZozzora,,
2,Negative,Negative,Negative,"Trump fans applaud their hero's ""tough talk"" but get offended when I do same on Twitter. Sad. #NeverTrump #GOPDebate",,
3,Negative,Negative,Negative,RT @LucyStag: It's genuinely skin-crawling how Trump refuses to say that his supporters shouldn't be violent. #gopdebate,,
4,Negative,Negative,Negative,"RT @TheValuesVoter: @VOICEOFCHID Asking Trump a detailed question is like asking Stevie Wonder ""What color is this dress?"" #GOPDebate https…",,
5,Negative,Negative,Negative,"RT @KatiePavlich: Palestinian terrorists/Authority celebrated the murder of American Taylor Force in the streets  Trump wants to negotiate …",,
6,Negative,Negative,Negative,"RT @thehill: Trump: I use visas that are ""very bad"" for American workers https://t.co/p8wUCnEfm0 #GOPdebate https://t.co/IL2KSc0HVV",,
7,Neutral,Neutral,Neutral,Trump is campaigning for his sister for SCOTUS in his closing remarks. #GOPDebate,,
8,Neutral,Neutral,Neutral,RT @dawngpsalm63: #CNNDebate #GOPDebate #Cruz #NAU #Florida #Ohio #Primary Watch VIP ?????????????? https://t.co/1JOlEbOl14,,
9,Neutral,Positive,Positive,RT @USATODAY: Trump: We'll build factories here and make our own products. That's the way it should be done. #GOPDebate,,
10,Negative,Negative,Negative,"RT @HEELZiggler: No matter what points Cruz makes  he just comes off as a hall monitor  who tells the teacher who was bad  while she was ou…",,
11,Neutral,Neutral,Negative,"RT @frogmorton: I'd be OK if Trump outlawed all hooting  and possibly all hollering. #GOPDebate",,
12,Neutral,Neutral,Neutral,RT @mrctv: WATCH: Sen. Ted Cruz calls for ObamaCare repeal in closing statement. #TTT16 GOPDebate https://t.co/loCfR4Ssd4,,
13,Positive,Positive,Positive,"RT @ChuckNellis: Ted Cruz had an AWESOME factual  policy based #GOPDebate! If you want our next Ronald Reagan LEADER I introduce you to @Te…",,
14,Negative,Negative,Negative,"RT @stephenfhayes: Trump on Middle East conflict: ""I was the Grand Marshal of the Israeii Day parade  down 5th Avenue."" #embarrassing #GOPd…",,
15,Negative,Negative,Negative,RT @_Teufelshunde: Ted Cruz Is Now Auto Recall. Anytime I Hear Or See Him The Immediate Image Is: Sleazy Televangelist #GOPDebate https://t…,,
16,Positive,Positive,Positive,Um..ummm  Attention: @AmbJohnBolton The most Presidential candidate on the #GOPDebate #NeverHillary @gop @nro #trump https://t.co/JVrxKHAuQe ,,
17,Positive,Positive,Positive,RT @Veteran4Trump: Trump is the only candidate that remembers! Don't be fooled America. Trump is our last hope for Security #GOPDebate http…,,
18,Neutral,Neutral,Negative,"RT @guypbenson: ""I beat Hillary in many of the polls."" - Trump at #GOPDebate The polls: https://t.co/7sWHYOBtVv""",,
19,Negative,Negative,Negative,RT @JesseKellyDC: If you're watching this debate and think Trump is the best candidate on that stage then you need professional help. #GOPD…,,
20,Negative,Negative,Negative,RT @My3Alexandra: #GOPDebate Everything Cruz wants to do on day one are impeachable offenses #Pleaseproceed,,
21,Neutral,Neutral,Neutral,"RT @Ricky_Vaughn99: Okay  so even though @jaketapper tried to stump Trump he was much fairer and more respectable than @megynkelly. #GOPDeb…",,
22,Positive,Positive,Positive,RT @WesleyRickard: Kid Rock Singer Songwriter Endorses Donald J Trump for President #NC #FL #OH #MO #IL #DC #CA #GOP #FOX #GOPDebate https:…,,
23,Negative,Negative,Negative,RT @lexi4prez: Cruz going on and on about less government being wonderful and great....until it's about abortion and gay marriage. #GOPDeba…,,
24,Negative,Negative,Negative,"RT @stephenfhayes: Trump  pressed for details on his ""waste  fraud & abuse"" Social Sec dodge  instead lists countries (to waste time)  talk…",,
25,Negative,Negative,Negative,Love how Trump eventually takes talking points from other candidates.  #GOPDebate,,
26,Negative,Negative,Negative,"RT @BigHeadSports: I have to hand it to Trump. For a Democrat  he's not doing terrible at the #GOPDebate",,
27,Positive,Positive,Positive,RT @JLQ4TRUMP: @CNNPolitics @TheresaMechele of course it's true #GOPDebate #CNNDebate #Trump is the only one who speaks the truth https://t…,,
28,Negative,Negative,Negative,Great #GOPDebate? No circus of nastiness for ratings. Good questions and answers. #Trump for the first time said The Constitution. #TCOT,,
29,Negative,Negative,Negative,"RT @HavanaTed: With all due respect to Donald Trump  there is no bigger clown in America than @Reince. #GOPDebate",,
30,Negative,Negative,Negative,RT @MTP: New NBC/WSJ Poll: Trump's favorability rating is among the lowest in the history of pres. candidates. https://t.co/D52C4YUzP4 #GOP…,,
31,Negative,Negative,Negative,RT @imfabulous13: Disney workers endorsed Trump only because they think he is a cartoon character. #GOPDebate #CNNDebate https://t.co/mTkpt…,,
32,Neutral,Neutral,Neutral,RT @trendincontent: Cruz: I'm fine with contested convention https://t.co/khnKwgR6eA #GOPDebate https://t.co/uk8rajOn71,,
33,Positive,Positive,Positive,RT @FriendlyJMC: #Trump #GOPDebate The GOP has ONE candidate pulling in new voters that can beat Hillary: https://t.co/Qv34MVBI62,,
34,Positive,Positive,Negative,FL OurPrinciplesPAC anti-Trump ads false-Trump followed law for workers-change the law as he said in #GOPDebate LIES he did NOT pay $1M fine,,
35,Negative,Negative,Negative,RT @Wonkette: How many justices does Trump think are going to die? And which one is he going to have killed? Is it Roberts? We bet it's Rob…,,
36,Negative,Negative,Negative,RT @CNNMoney: The truth behind Donald Trump's 'self funding' https://t.co/rZ3HD8G04b #GOPDebate https://t.co/0AMR28yc9I ,,
37,Neutral,Neutral,Negative,"Trump: ""It will take centuries to recover"" if a Democratic president appoints the next Supreme Court justices #GOPDebate",,
38,Negative,Negative,Negative,"RT @ToddHagopian: Could someone PLEASE count how many times #Trump has said ""deal"" in the debate? This guy knows NOTHING about policy! #GO…",,
39,Negative,Negative,Negative,.@RealDonaldTrump #Trump2016 The #KingofLosers: #GOPDebate: Another Loser: Trump Payroll Chicago LLC,,
40,Negative,Negative,Negative,RT @hooverwhalen: New to my @Forbes blog: #GOPDebate shows us that #Trump makes for ho-hum television . . .when he stops being #Trump. http…,,
41,Negative,Negative,Negative,"RT @laniar: CNN quotes Trump essentially inciting violence  he blames the protesters. Classy af. #GOPdebate",,
42,Negative,Negative,Negative,Cruz attacked Obama for returning Churchill bust to UK when he took office. But it was loaned to Bush. https://t.co/NfNXsGBqtL #GOPDebate,,
43,Negative,Negative,Negative,"Things Donald Trump and Deng Xiaoping would agree on: #NAME? ""-Tiananmen Square was a """"riot."""""" #GOPDebate",,
44,Positive,Positive,Negative,RT @cnnbrk: Trump: I haven't even started on Clinton yet. #GOPDebate https://t.co/yjvGhspqVi,,
45,Negative,Negative,Negative,How long does Trump think people live? #GOPDebate #centuries,,
46,Positive,Positive,Positive,RT @TeresaC85469500: #GOPDebate Only Trump has done deals risking his own assets on a World Stage! The rest use Our money without risk! #V…,,
47,Negative,Negative,Negative,"""Do you think it played to your advantage?"" Trump: Sure did  I fooled all those fuckers. #GOPDebate""",,
48,Negative,Negative,Negative,"RT @JoniBarth1: I am more than a little worried that the ""good deal ""Donald Trump wants from Cuba is a good hotel deal. #NotTrump #GOPDebate",,
49,Neutral,Neutral,Neutral,"RT @ArthurSchwartz: Trump: ""The Republican party has a great chance to embrace . . . people that it's never known before. Yes  like Dona…",,
50,Negative,Negative,Negative,"RT @Ryan__Hyman: Here's the problem: Trump WAS civil tonight. He still lacks substance & I worry when his regular  uncivil self will resurf…",,
51,Negative,Negative,Negative,"RT @MattWalshBlog: Trump is the ""outsider"" candidate who constantly points out how he's exploited the political system his whole life #GOPD…",,
52,Negative,Negative,Negative,RT @AmandaPresto: Hahahahahah Trump: I'm the most pro-Israel on the stage bc I was in a parade once. #GOPdebate,,
53,Negative,Negative,Negative,"RT @snleanza95: Literally every Trump line: I know how to use the laws to my advantage  because I'm a con-man. #GOPDebate #tccus",,
54,Positive,Positive,Positive,RT @DonaldTrumpLA: Donald J. Trump called for more respect for American law enforcement. #GOPDebate. He is good for USA https://t.co/cnGxU2…,,
55,Positive,Positive,Positive,RT @Ricky_Vaughn99: TRUMP DOMINATES DRUDGE POLL AFTER MIAMI #GOPDebate https://t.co/uPmwMUwt8z,,
56,Negative,Negative,Negative,"RT @LindaSuhler: Aw  Ted. Your vindictiveness is NOT playing well tonight. #LyingTed Cruz. (And he gave us his website for $$$) #GOPDebate…",,
57,Positive,Positive,Positive,"RT @hectormorenco: Trump coalition is mostly working class Americans. Great to see new life  new ideas  and new voters in GOP. #GOPDebate",,
58,Negative,Negative,Negative,"RT @rumpfshaker: So  journalists aren't going to ask Trump about one of their own being assaulted? Lame. #GOPDebate #FireCorey",,
59,Neutral,Negative,Neutral,RT @FrankLuntz: Trump's Muslim comments are winning over conservatives but not moderates.  #GOPDebate,,
60,Positive,Positive,Negative,RT @OrigIntent: Poor #Beck. His own poll shows #Trump won #GOPDebate. @LindaSuhler @Lrihendry @mjgranger1 @TrumpMyPres @slone https://t.co…,,
61,Negative,Negative,Negative,"RT @misterdish69: #GOPDebate #Dobbs Exactly  Cruz baited him  he showed class. Although he could have mentioned all the ideas were his http…",,
62,Negative,Negative,Negative,"RT @YourAnonNews: Trump celebrating police brutality  wild applause #GOPDebate",,
63,Positive,Positive,Positive,RT @K1erry: Trump gives a good closing praising his supporters and how they love their country. Embrace these people! And unify #GOPDebate,,
