"","X","id","tweet_id","candidate","tweet_created","sentiment","tweet_location","user_timezone","text","predictedLabel","actualLabel","maxEntPrediction","maxEntProbability","svmPrediction","svmProbability","glmnetPrediction","glmnetProbability","consensusCount","probabilityLabel","consensusLabel"
"2",2,2,"629697199560069120","Scott Walker","2015-08-07 09:54:46 -0700","Positive","","","RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…",1,3,"3",0.999866437233642,"1",0.518429122038749,"1",0.665897952669162,2,3,1
"4",4,4,"629697197118861312","No candidate mentioned","2015-08-07 09:54:45 -0700","Positive","Texas","Central Time (US & Canada)","RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …",1,3,"3",1,"1",0.701946271274247,"1",0.596630026958678,2,3,1
"5",5,5,"629697196967903232","Donald Trump","2015-08-07 09:54:45 -0700","Positive","","Arizona","RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co…",3,3,"3",1,"3",0.985977892655192,"3",0.762465934065468,3,3,3
"6",6,6,"629697194283499520","Ted Cruz","2015-08-07 09:54:44 -0700","Positive","","Central Time (US & Canada)","RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",3,3,"3",0.999929840288803,"3",0.581024405858333,"1",0.646646908484277,2,3,3
"7",7,7,"629697192383672320","No candidate mentioned","2015-08-07 09:54:44 -0700","Negative","North Georgia","Eastern Time (US & Canada)","RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://…",1,1,"1",0.999999890712733,"1",0.8776476756944,"1",0.87372471486371,3,1,1
"9",9,9,"629697190219243520","Ben Carson","2015-08-07 09:54:44 -0700","Negative","","Pacific Time (US & Canada)","Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",1,1,"1",1,"1",0.872733607962733,"1",0.791305370087244,3,1,1
"10",10,10,"629697185093824512","No candidate mentioned","2015-08-07 09:54:42 -0700","Negative","","","RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD",1,1,"1",1,"1",0.926616872576027,"1",0.854727848386426,3,1,1
"11",11,11,"629697185072988160","Donald Trump","2015-08-07 09:54:42 -0700","Negative","Peoria, IL","Central Time (US & Canada)","@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate",1,1,"1",0.999999999999996,"1",0.877500188494655,"1",0.777953223521199,3,1,1
"12",12,12,"629697184259305472","Mike Huckabee","2015-08-07 09:54:42 -0700","Positive","Fargo, ND","Central Time (US & Canada)","RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate   Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV",3,3,"3",0.999894927458568,"3",0.86988578575026,"1",0.546980703507763,2,3,3
"13",13,13,"629697183499943936","No candidate mentioned","2015-08-07 09:54:42 -0700","Negative","","","Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ",1,1,"1",0.999479287942508,"1",0.582342106433877,"1",0.62857624171415,3,1,1
